Assembly_accession	Superkingdom	Species_taxid	Genome_size	Genome_sizeM
GCF_002606805.1	Viral	2732713	39756	0.037914276
GCF_002628105.1	Viral	2732710	39759	0.037917137
GCF_002757895.1	Viral	2733661	39763	0.037920952
GCF_000914595.1	Viral	1458842	39783	0.037940025
GCF_000923095.1	Viral	2733642	39799	0.037955284
GCF_003613655.1	Viral	2733879	39809	0.037964821
GCF_000866205.1	Viral	1982579	39811	0.037966728
GCF_000909215.1	Viral	1305708	39821	0.037976265
GCF_009860395.1	Viral	2686246	39826	0.037981033
GCF_002626285.1	Viral	2560298	39833	0.037987709
GCF_000875325.1	Viral	537874	39844	0.037998199
GCF_001503795.1	Viral	2733615	39844	0.037998199
GCF_002618545.1	Viral	2733637	39850	0.038003922
GCF_006083715.1	Viral	2079257	39856	0.038009644
GCF_000909675.1	Viral	1918193	39858	0.038011551
GCF_001743775.1	Viral	2732699	39863	0.038016319
GCF_000892295.1	Viral	2733612	39863	0.038016319
GCF_001038595.1	Viral	2733658	39874	0.03802681
GCF_000846625.1	Viral	279281	39876	0.038028717
GCF_000903475.1	Viral	673376	39899	0.038050652
GCF_000911595.1	Viral	1918192	39900	0.038051605
GCF_000865465.1	Viral	347324	39905	0.038056374
GCF_000915535.1	Viral	2733630	39914	0.038064957
GCF_003575705.1	Viral	2732705	39927	0.038077354
GCF_009860935.1	Viral	2686273	39928	0.038078308
GCF_001470735.1	Viral	2732775	39947	0.038096428
GCF_001744055.1	Viral	2733872	39947	0.038096428
GCF_000879135.1	Viral	499235	39955	0.038104057
GCF_000875445.1	Viral	2733636	39965	0.038113594
GCF_000892355.1	Viral	2732777	39981	0.038128853
GCF_001745755.1	Viral	2733632	39981	0.038128853
GCF_000902475.1	Viral	2733616	39992	0.038139343
GCF_000896475.1	Viral	1105286	39993	0.038140297
GCF_002997715.1	Viral	2560596	40021	0.038167
GCF_002958515.1	Viral	2733877	40030	0.038175583
GCF_002958135.1	Viral	2070189	40034	0.038179398
GCF_000841105.1	Viral	10717	40039	0.038184166
GCF_000921895.1	Viral	1448274	40072	0.038215637
GCF_004325275.1	Viral	2733880	40072	0.038215637
GCF_002617165.1	Viral	2734264	40073	0.038216591
GCF_003613675.1	Viral	2733873	40097	0.038239479
GCF_001505515.1	Viral	1739610	40112	0.038253784
GCF_002997575.1	Viral	2560594	40116	0.038257599
GCF_001015265.1	Viral	1922330	40130	0.03827095
GCF_001744455.1	Viral	2732698	40144	0.038284302
GCF_001745095.1	Viral	2733631	40154	0.038293839
GCF_003288515.1	Viral	2733958	40176	0.038314819
GCF_002612345.1	Viral	2732711	40179	0.03831768
GCF_000881715.1	Viral	1985739	40180	0.038318634
GCF_000894255.1	Viral	1109714	40185	0.038323402
GCF_001504875.1	Viral	1739607	40186	0.038324356
GCF_003865455.1	Viral	2732787	40196	0.038333893
GCF_004521815.1	Viral	2510486	40204	0.038341522
GCF_000864645.1	Viral	2733614	40208	0.038345337
GCF_001041475.1	Viral	1558467	40235	0.038371086
GCF_003861675.1	Viral	2732784	40239	0.038374901
GCF_002624065.1	Viral	2733644	40243	0.038378716
GCF_004319625.1	Viral	2733634	40244	0.038379669
GCF_003094335.1	Viral	2733651	40248	0.038383484
GCF_002149485.1	Viral	1225792	40266	0.03840065
GCF_000891635.1	Viral	2733886	40276	0.038410187
GCF_000905415.1	Viral	754055	40285	0.03841877
GCF_000884555.1	Viral	1633151	40293	0.038426399
GCF_000871385.1	Viral	346882	40297	0.038430214
GCF_000902115.1	Viral	2169926	40297	0.038430214
GCF_001470435.1	Viral	2560675	40298	0.038431168
GCF_003368725.1	Viral	2282173	40298	0.038431168
GCF_002997865.1	Viral	2733875	40304	0.03843689
GCF_000847165.1	Viral	2732714	40316	0.038448334
GCF_002958175.1	Viral	2070193	40332	0.038463593
GCF_003991785.1	Viral	2733635	40335	0.038466454
GCF_000857625.1	Viral	55511	40336	0.038467407
GCF_001745895.1	Viral	2733649	40336	0.038467407
GCF_002615605.1	Viral	2732782	40344	0.038475037
GCF_002149225.1	Viral	1921187	40352	0.038482666
GCF_003994835.1	Viral	2733643	40354	0.038484573
GCF_002997555.1	Viral	2560590	40359	0.038489342
GCF_001745915.1	Viral	1838138	40360	0.038490295
GCF_000917035.1	Viral	2733611	40363	0.038493156
GCF_000903395.1	Viral	1090133	40364	0.03849411
GCF_003307575.1	Viral	2732781	40384	0.038513184
GCF_000840625.2	Viral	1982580	40395	0.038523674
GCF_001755025.1	Viral	2732783	40411	0.038538933
GCF_000866705.1	Viral	2733640	40421	0.03854847
GCF_001041095.1	Viral	1558469	40434	0.038560867
GCF_003341035.1	Viral	2733617	40435	0.038561821
GCF_000848825.1	Viral	37554	40451	0.03857708
GCF_002954915.1	Viral	1912492	40456	0.038581848
GCF_002619725.1	Viral	2733654	40466	0.038591385
GCF_003342575.1	Viral	2733668	40467	0.038592339
GCF_002957255.1	Viral	2733876	40470	0.0385952
GCF_000913735.1	Viral	1407493	40471	0.038596153
GCF_003691935.1	Viral	2734217	40489	0.038613319
GCF_000844445.1	Viral	1922332	40497	0.038620949
GCF_000909335.1	Viral	754066	40503	0.038626671
GCF_000899835.1	Viral	1168548	40507	0.038630486
GCF_000874625.1	Viral	2732778	40536	0.038658142
GCF_000836985.1	Viral	78541	40548	0.038669586
GCF_000911355.1	Viral	1921188	40559	0.038680077
GCF_000844065.1	Viral	1922331	40565	0.038685799
GCF_000912295.1	Viral	2732776	40574	0.038694382
GCF_000882435.1	Viral	340054	40583	0.038702965
GCF_000912335.1	Viral	1921185	40589	0.038708687
GCF_002958195.1	Viral	2070195	40594	0.038713455
GCF_001736435.1	Viral	1567487	40598	0.03871727
GCF_002628025.1	Viral	2733663	40606	0.038724899
GCF_000843225.1	Viral	136084	40608	0.038726807
GCF_000885155.1	Viral	335797	40614	0.038732529
GCF_004800385.1	Viral	2732785	40615	0.038733482
GCF_003601515.1	Viral	2733639	40617	0.03873539
GCF_000904255.1	Viral	2733960	40645	0.038762093
GCF_000844825.1	Viral	1985738	40657	0.038773537
GCF_002990805.1	Viral	2733628	40661	0.038777351
GCF_001882195.1	Viral	1874539	40673	0.038788795
GCF_000922935.1	Viral	1448276	40688	0.038803101
GCF_003568435.1	Viral	2733650	40690	0.038805008
GCF_003023935.1	Viral	2126803	40692	0.038806915
GCF_000898515.1	Viral	1168280	40697	0.038811684
GCF_000910295.1	Viral	1327952	40702	0.038816452
GCF_002956045.1	Viral	2733887	40704	0.038818359
GCF_000875585.1	Viral	496874	40711	0.038825035
GCF_002617865.1	Viral	2733670	40718	0.038831711
GCF_001503455.1	Viral	1921186	40719	0.038832664
GCF_000859265.1	Viral	31754	40724	0.038837433
GCF_000924355.1	Viral	2734054	40724	0.038837433
GCF_003843605.1	Viral	2301528	40728	0.038841248
GCF_001744655.1	Viral	2560655	40733	0.038846016
GCF_001501875.1	Viral	1675598	40744	0.038856506
GCF_003226655.1	Viral	2733662	40744	0.038856506
GCF_000903635.1	Viral	1147158	40756	0.03886795
GCF_000901995.1	Viral	941969	40769	0.038880348
GCF_002622665.1	Viral	1981932	40769	0.038880348
GCF_000895915.1	Viral	2560657	40778	0.038888931
GCF_000903815.1	Viral	1147044	40796	0.038906097
GCF_003958785.1	Viral	2733671	40796	0.038906097
GCF_900016765.1	Viral	2733618	40817	0.038926125
GCF_001470975.1	Viral	1985725	40837	0.038945198
GCF_002613645.1	Viral	2733646	40848	0.038955688
GCF_000896335.1	Viral	1127357	40851	0.038958549
GCF_013375135.1	Viral	2744802	40861	0.038968086
GCF_000841985.1	Viral	175950	40872	0.038978577
GCF_000902775.1	Viral	2169923	40882	0.038988113
GCF_000925875.1	Viral	1458863	40887	0.038992882
GCF_004006775.1	Viral	2733665	40910	0.039014816
GCF_000906315.1	Viral	2733660	40917	0.039021492
GCF_002626265.2	Viral	2560396	40918	0.039022446
GCF_000842565.1	Viral	139870	40919	0.039023399
GCF_002149425.1	Viral	1921189	40937	0.039040565
GCF_003369165.1	Viral	2733647	40943	0.039046288
GCF_000906895.1	Viral	754056	40953	0.039055824
GCF_002612265.1	Viral	2733681	40962	0.039064407
GCF_000849705.1	Viral	120574	40991	0.039092064
GCF_003575385.1	Viral	2732763	40998	0.03909874
GCF_001744635.1	Viral	1815955	41000	0.039100647
GCF_002607625.1	Viral	1735646	41010	0.039110184
GCF_000927435.1	Viral	1486428	41013	0.039113045
GCF_000882475.1	Viral	573591	41015	0.039114952
GCF_002625425.1	Viral	2015807	41028	0.03912735
GCF_900007805.1	Viral	2733624	41039	0.03913784
GCF_003094255.1	Viral	2732762	41041	0.039139748
GCF_002622685.1	Viral	1981933	41050	0.039148331
GCF_002604705.1	Viral	2733622	41089	0.039185524
GCF_002959055.1	Viral	2560589	41096	0.0391922
GCF_003865715.1	Viral	2733678	41100	0.039196014
GCF_009861045.1	Viral	2686278	41116	0.039211273
GCF_003094295.1	Viral	2733629	41117	0.039212227
GCF_000918515.1	Viral	2733927	41140	0.039234161
GCF_002623585.1	Viral	2560274	41141	0.039235115
GCF_003203715.1	Viral	2733684	41158	0.039251328
GCF_004799885.1	Viral	2733682	41160	0.039253235
GCF_002617425.1	Viral	2733653	41164	0.03925705
GCF_002614225.1	Viral	2733683	41174	0.039266586
GCF_002958185.1	Viral	2070194	41175	0.03926754
GCF_001881795.1	Viral	1813779	41177	0.039269447
GCF_002578605.1	Viral	2733893	41193	0.039284706
GCF_000897775.1	Viral	374422	41201	0.039292336
GCF_000913935.1	Viral	1417599	41201	0.039292336
GCF_000921095.1	Viral	2733621	41203	0.039294243
GCF_001504455.1	Viral	2732780	41205	0.03929615
GCF_001882295.1	Viral	2733638	41206	0.039297104
GCF_003575465.1	Viral	2732765	41214	0.039304733
GCF_000904295.1	Viral	1131316	41219	0.039309502
GCF_002956085.1	Viral	2733918	41220	0.039310455
GCF_001471055.2	Viral	1701257	41224	0.03931427
GCF_002615865.1	Viral	2560271	41230	0.039319992
GCF_001881835.1	Viral	1701826	41234	0.039323807
GCF_000871105.1	Viral	403905	41268	0.039356232
GCF_900156925.1	Viral	1934252	41270	0.039358139
GCF_002617405.1	Viral	2560297	41281	0.039368629
GCF_000893295.1	Viral	2734075	41284	0.03937149
GCF_002990765.1	Viral	2733626	41284	0.03937149
GCF_003723375.1	Viral	1932007	41285	0.039372444
GCF_002610045.1	Viral	2560686	41286	0.039373398
GCF_003575425.1	Viral	2732764	41290	0.039377213
GCF_003613215.1	Viral	2734266	41298	0.039384842
GCF_001745115.1	Viral	1698439	41304	0.039390564
GCF_001504335.1	Viral	1498171	41325	0.039410591
GCF_002627105.1	Viral	2560276	41336	0.039421082
GCF_003368905.1	Viral	2249777	41336	0.039421082
GCF_002612025.1	Viral	2733679	41337	0.039422035
GCF_002617185.1	Viral	2734267	41352	0.03943634
GCF_000906135.1	Viral	889953	41386	0.039468765
GCF_003143215.1	Viral	2733656	41393	0.039475441
GCF_003365275.1	Viral	2734230	41400	0.039482117
GCF_001504075.1	Viral	1732064	41410	0.039491653
GCF_002617925.1	Viral	2733652	41411	0.039492607
GCF_000841165.1	Viral	173443	41414	0.039495468
GCF_000904435.1	Viral	754067	41427	0.039507866
GCF_000916395.1	Viral	2560421	41428	0.03950882
GCF_000901015.1	Viral	1147143	41446	0.039525986
GCF_001470135.1	Viral	2560731	41472	0.039550781
GCF_004015525.1	Viral	2733316	41473	0.039551735
GCF_000837365.1	Viral	64186	41474	0.039552689
GCF_000916495.1	Viral	2733321	41474	0.039552689
GCF_003308855.1	Viral	2733659	41479	0.039557457
GCF_000836965.1	Viral	10742	41481	0.039559364
GCF_003843585.1	Viral	2301529	41481	0.039559364
GCF_001743895.1	Viral	1852629	41492	0.039569855
GCF_002958455.1	Viral	2733619	41493	0.039570808
GCF_001505075.1	Viral	1591073	41496	0.039573669
GCF_000886755.1	Viral	668618	41497	0.039574623
GCF_001275515.1	Viral	1051631	41497	0.039574623
GCF_002582885.1	Viral	2733968	41501	0.039578438
GCF_002957955.1	Viral	2733685	41517	0.039593697
GCF_000857125.1	Viral	2005701	41525	0.039601326
GCF_003143315.1	Viral	2560416	41530	0.039606094
GCF_000905395.1	Viral	754048	41542	0.039617538
GCF_001503655.1	Viral	2732779	41563	0.039637566
GCF_000849645.1	Viral	40521	41565	0.039639473
GCF_003143335.1	Viral	2560415	41578	0.039651871
GCF_000870845.2	Viral	447909	41596	0.039669037
GCF_004146665.1	Viral	2733925	41597	0.039669991
GCF_000864445.1	Viral	359961	41600	0.039672852
GCF_001502855.1	Viral	1732179	41607	0.039679527
GCF_002627085.1	Viral	2016049	41622	0.039693832
GCF_003958825.1	Viral	2733672	41630	0.039701462
GCF_000871405.1	Viral	139871	41632	0.039703369
GCF_000838145.1	Viral	176106	41652	0.039722443
GCF_000904855.1	Viral	1147043	41656	0.039726257
GCF_000927555.1	Viral	2560425	41663	0.039732933
GCF_000911275.1	Viral	1414736	41668	0.039737701
GCF_000904375.1	Viral	754045	41672	0.039741516
GCF_003094235.1	Viral	2560427	41673	0.03974247
GCF_000906855.1	Viral	754043	41674	0.039743423
GCF_000867625.1	Viral	400567	41676	0.039745331
GCF_000891215.1	Viral	1985722	41678	0.039747238
GCF_002617845.1	Viral	2733669	41682	0.039751053
GCF_001470635.1	Viral	1985717	41686	0.039754868
GCF_003032855.1	Viral	2169709	41688	0.039756775
GCF_003865695.1	Viral	2734260	41696	0.039764404
GCF_002990175.1	Viral	2733592	41705	0.039772987
GCF_000884195.1	Viral	590739	41710	0.039777756
GCF_000892395.1	Viral	2733657	41716	0.039783478
GCF_000927415.1	Viral	1536597	41722	0.0397892
GCF_000891435.1	Viral	714583	41723	0.039790154
GCF_003692175.1	Viral	2734224	41736	0.039802551
GCF_001744895.1	Viral	1815510	41744	0.039810181
GCF_003958805.1	Viral	2733673	41792	0.039855957
GCF_001500915.1	Viral	1985727	41801	0.03986454
GCF_001882055.1	Viral	1701827	41811	0.039874077
GCF_002629725.1	Viral	2560431	41824	0.039886475
GCF_000846925.1	Viral	294382	41829	0.039891243
GCF_000891135.1	Viral	1032362	41833	0.039895058
GCF_004149205.1	Viral	2734285	41842	0.039903641
GCF_001470055.3	Viral	1747326	41847	0.039908409
GCF_001882175.1	Viral	1701811	41852	0.039913177
GCF_000884535.1	Viral	1985726	41857	0.039917946
GCF_002612285.1	Viral	2733680	41862	0.039922714
GCF_003031025.1	Viral	2733919	41869	0.03992939
GCF_000900615.1	Viral	1984800	41882	0.039941788
GCF_002617305.1	Viral	1921560	41889	0.039948463
GCF_002608235.1	Viral	2733667	41889	0.039948463
GCF_001470795.1	Viral	2733623	41890	0.039949417
GCF_001501255.1	Viral	1636263	41891	0.039950371
GCF_000921995.1	Viral	1458852	41896	0.039955139
GCF_000898195.1	Viral	1161901	41901	0.039959908
GCF_002614265.1	Viral	2733666	41912	0.039970398
GCF_001754705.1	Viral	2560424	41913	0.039971352
GCF_003571865.1	Viral	2733926	41917	0.039975166
GCF_000879855.1	Viral	512792	41919	0.039977074
GCF_000890635.1	Viral	1985724	41919	0.039977074
GCF_003972125.1	Viral	2508226	41943	0.039999962
GCF_001737095.1	Viral	1647470	41944	0.040000916
GCF_000888535.1	Viral	872294	41952	0.040008545
GCF_002627145.1	Viral	2016052	41956	0.04001236
GCF_001885525.1	Viral	1868170	41964	0.040019989
GCF_003601415.1	Viral	2734241	41973	0.040028572
GCF_001500795.2	Viral	1985713	41988	0.040042877
GCF_001041895.1	Viral	2733609	42005	0.04005909
GCF_002149645.1	Viral	1391456	42037	0.040089607
GCF_002621265.1	Viral	2560443	42041	0.040093422
GCF_000910595.1	Viral	1337877	42045	0.040097237
GCF_000858605.1	Viral	2734233	42064	0.040115356
GCF_001470915.2	Viral	1647458	42080	0.040130615
GCF_002604125.1	Viral	2734259	42088	0.040138245
GCF_900010585.1	Viral	2560268	42089	0.040139198
GCF_000902755.1	Viral	1922211	42096	0.040145874
GCF_000916695.1	Viral	2733655	42137	0.040184975
GCF_000846745.1	Viral	221029	42142	0.040189743
GCF_000908535.1	Viral	1195071	42145	0.040192604
GCF_004149165.1	Viral	2734286	42152	0.04019928
GCF_002617965.1	Viral	2560263	42156	0.040203094
GCF_002957285.1	Viral	2733319	42158	0.040205002
GCF_000843665.1	Viral	71366	42162	0.040208817
GCF_000885575.1	Viral	649688	42188	0.040233612
GCF_001501555.1	Viral	2733367	42199	0.040244102
GCF_000909715.1	Viral	66284	42217	0.040261269
GCF_000903655.1	Viral	2169920	42217	0.040261269
GCF_001042175.1	Viral	2733610	42222	0.040266037
GCF_002149545.1	Viral	1643326	42230	0.040273666
GCF_000848045.2	Viral	10719	42234	0.040277481
GCF_002958215.1	Viral	2560428	42236	0.040279388
GCF_000904695.1	Viral	2169798	42241	0.040284157
GCF_006529875.1	Viral	2590880	42251	0.040293694
GCF_001503755.1	Viral	1582151	42256	0.040298462
GCF_000891715.1	Viral	764562	42262	0.040304184
GCF_002627165.1	Viral	2016053	42267	0.040308952
GCF_000915635.1	Viral	1461743	42270	0.040311813
GCF_002959085.1	Viral	2560593	42275	0.040316582
GCF_001470235.1	Viral	1985715	42276	0.040317535
GCF_000901035.1	Viral	2169924	42278	0.040319443
GCF_002614245.1	Viral	2733664	42280	0.04032135
GCF_003442115.1	Viral	2734261	42290	0.040330887
GCF_002624865.1	Viral	2005691	42299	0.04033947
GCF_000900595.1	Viral	1982588	42300	0.040340424
GCF_000922995.1	Viral	1500713	42309	0.040349007
GCF_001504535.1	Viral	1582150	42310	0.04034996
GCF_000902095.1	Viral	2169927	42317	0.040356636
GCF_000902435.1	Viral	2733365	42318	0.04035759
GCF_001470095.1	Viral	1985716	42321	0.040360451
GCF_002955315.1	Viral	2733320	42323	0.040362358
GCF_000872125.1	Viral	1985731	42340	0.040378571
GCF_002957915.1	Viral	2560588	42345	0.040383339
GCF_002629745.1	Viral	2560432	42350	0.040388107
GCF_000914995.1	Viral	2733593	42353	0.040390968
GCF_003600665.1	Viral	2734159	42353	0.040390968
GCF_002627125.1	Viral	2560277	42363	0.040400505
GCF_003183105.1	Viral	2182358	42374	0.040410995
GCF_001550485.1	Viral	2733370	42376	0.040412903
GCF_001308535.1	Viral	1911010	42378	0.04041481
GCF_002958285.1	Viral	2072797	42397	0.04043293
GCF_002617985.1	Viral	2560262	42400	0.040435791
GCF_002958485.1	Viral	2560679	42401	0.040436745
GCF_000918575.1	Viral	1074304	42402	0.040437698
GCF_003865535.1	Viral	2733376	42405	0.040440559
GCF_002997375.1	Viral	2733372	42416	0.04045105
GCF_002613725.1	Viral	2733377	42420	0.040454865
GCF_001310155.1	Viral	1918726	42428	0.040462494
GCF_000917055.1	Viral	2560420	42439	0.040472984
GCF_000860265.1	Viral	320847	42440	0.040473938
GCF_001500935.1	Viral	1985723	42443	0.040476799
GCF_002578645.1	Viral	2733906	42447	0.040480614
GCF_002957565.1	Viral	2734218	42453	0.040486336
GCF_000840945.1	Viral	259901	42458	0.040491104
GCF_002629705.1	Viral	2560430	42466	0.040498734
GCF_000902375.1	Viral	947981	42477	0.040509224
GCF_000845765.1	Viral	10754	42481	0.040513039
GCF_004800265.1	Viral	2734189	42492	0.040523529
GCF_000923615.1	Viral	1357732	42496	0.040527344
GCF_000911295.1	Viral	1385385	42510	0.040540695
GCF_001744195.1	Viral	1864623	42512	0.040542603
GCF_002607605.1	Viral	1735645	42541	0.040570259
GCF_001501195.1	Viral	1985712	42557	0.040585518
GCF_000903995.1	Viral	2733371	42566	0.040594101
GCF_001746135.1	Viral	876449	42567	0.040595055
GCF_001881755.1	Viral	1701824	42567	0.040595055
GCF_000843085.1	Viral	225588	42585	0.040612221
GCF_000845385.1	Viral	151536	42590	0.040616989
GCF_001502695.1	Viral	1610872	42600	0.040626526
GCF_001744255.1	Viral	2560506	42609	0.040635109
GCF_001470275.1	Viral	1981032	42619	0.040644646
GCF_001736915.1	Viral	1450169	42622	0.040647507
GCF_002618065.1	Viral	2733596	42623	0.04064846
GCF_003865675.1	Viral	2734188	42628	0.040653229
GCF_000929095.1	Viral	2005698	42631	0.04065609
GCF_002578785.1	Viral	2733929	42633	0.040657997
GCF_001882335.1	Viral	1701812	42647	0.040671349
GCF_000857685.1	Viral	320845	42655	0.040678978
GCF_003613955.1	Viral	2733318	42661	0.0406847
GCF_003047835.1	Viral	2733373	42665	0.040688515
GCF_001744875.1	Viral	1864622	42671	0.040694237
GCF_001503095.1	Viral	1505026	42686	0.040708542
GCF_002959075.1	Viral	2560591	42691	0.04071331
GCF_000923675.1	Viral	1464127	42696	0.040718079
GCF_001551265.1	Viral	1483485	42697	0.040719032
GCF_001275535.1	Viral	1126885	42705	0.040726662
GCF_000881955.1	Viral	2560730	42709	0.040730476
GCF_000898915.1	Viral	1194641	42744	0.040763855
GCF_002745815.1	Viral	2733368	42746	0.040765762
GCF_001831345.1	Viral	2169708	42761	0.040780067
GCF_002578345.1	Viral	2733938	42775	0.040793419
GCF_003423425.1	Viral	2283012	42828	0.040843964
GCF_003094055.1	Viral	2734160	42840	0.040855408
GCF_000905875.1	Viral	2733944	42844	0.040859222
GCF_000954255.1	Viral	2494563	42853	0.040867805
GCF_000917095.1	Viral	1465618	42854	0.040868759
GCF_001040815.1	Viral	1526550	42854	0.040868759
GCF_002958165.1	Viral	2070192	42861	0.040875435
GCF_002609985.1	Viral	1840236	42868	0.040882111
GCF_004800205.1	Viral	2733896	42876	0.04088974
GCF_000897455.1	Viral	1197953	42895	0.04090786
GCF_001689815.1	Viral	405947	42897	0.040909767
GCF_002149745.1	Viral	1567012	42919	0.040930748
GCF_003613395.1	Viral	2733317	42930	0.040941238
GCF_002629845.1	Viral	2733358	42936	0.04094696
GCF_000907515.1	Viral	1985714	42944	0.04095459
GCF_003722615.1	Viral	2734238	42952	0.040962219
GCF_001881695.1	Viral	1701828	42953	0.040963173
GCF_001745875.1	Viral	1980958	42967	0.040976524
GCF_000910415.1	Viral	1911006	42977	0.040986061
GCF_002604225.1	Viral	2733589	42996	0.041004181
GCF_000874165.2	Viral	445515	42997	0.041005135
GCF_000917275.1	Viral	2169799	43009	0.041016579
GCF_002745795.1	Viral	2733369	43020	0.041027069
GCF_000841565.1	Viral	52979	43021	0.041028023
GCF_000870325.1	Viral	416419	43025	0.041031837
GCF_001505575.1	Viral	1718158	43028	0.041034698
GCF_000868265.2	Viral	373407	43049	0.041054726
GCF_002578465.1	Viral	2733957	43050	0.041055679
GCF_002614445.1	Viral	1911007	43052	0.041057587
GCF_000910375.1	Viral	1233488	43068	0.041072845
GCF_002630785.1	Viral	874268	43079	0.041083336
GCF_002743855.1	Viral	2734190	43112	0.041114807
GCF_000925835.1	Viral	1918727	43117	0.041119576
GCF_002602145.1	Viral	2733324	43122	0.041124344
GCF_002957555.1	Viral	2734213	43145	0.041146278
GCF_007647415.1	Viral	2590936	43156	0.041156769
GCF_000902635.1	Viral	2005695	43157	0.041157722
GCF_001755665.1	Viral	2169811	43157	0.041157722
GCF_000919995.1	Viral	1982102	43158	0.041158676
GCF_000901215.2	Viral	2733375	43166	0.041166306
GCF_003692155.1	Viral	2734250	43171	0.041171074
GCF_000843605.1	Viral	279280	43179	0.041178703
GCF_001736255.1	Viral	1810705	43184	0.041183472
GCF_000857705.1	Viral	320849	43193	0.041192055
GCF_001744515.1	Viral	1873887	43194	0.041193008
GCF_002578525.1	Viral	2733945	43216	0.041213989
GCF_002615425.1	Viral	2733605	43229	0.041226387
GCF_000913755.1	Viral	434346	43232	0.041229248
GCF_000903855.1	Viral	874267	43235	0.041232109
GCF_002956515.1	Viral	2560505	43235	0.041232109
GCF_000841725.1	Viral	194699	43255	0.041251183
GCF_001502995.1	Viral	2733352	43270	0.041265488
GCF_002956205.1	Viral	2733903	43273	0.041268349
GCF_000858425.1	Viral	1985732	43283	0.041277885
GCF_003143375.1	Viral	2733364	43287	0.0412817
GCF_000880915.1	Viral	575608	43301	0.041295052
GCF_000928875.1	Viral	2733323	43306	0.04129982
GCF_000870645.1	Viral	2005700	43335	0.041327477
GCF_000847205.1	Viral	103807	43343	0.041335106
GCF_003368785.1	Viral	2268621	43343	0.041335106
GCF_003147045.1	Viral	2733349	43354	0.041345596
GCF_000916655.1	Viral	2003505	43359	0.041350365
GCF_002618085.1	Viral	2733374	43363	0.041354179
GCF_000921115.1	Viral	1445858	43365	0.041356087
GCF_000926815.1	Viral	1498220	43370	0.041360855
GCF_001501575.1	Viral	1642663	43370	0.041360855
GCF_002622725.1	Viral	1982078	43370	0.041360855
GCF_000900715.1	Viral	947980	43371	0.041361809
GCF_001308515.1	Viral	1922213	43373	0.041363716
GCF_000901815.1	Viral	2733904	43373	0.041363716
GCF_002624885.1	Viral	2005702	43397	0.041386604
GCF_003575485.1	Viral	2733343	43411	0.041399956
GCF_000871985.1	Viral	330396	43414	0.041402817
GCF_000908135.1	Viral	1195086	43419	0.041407585
GCF_000913715.1	Viral	2005694	43431	0.041419029
GCF_000927515.1	Viral	2733315	43433	0.041420937
GCF_006530595.1	Viral	2588504	43441	0.041428566
GCF_000902895.1	Viral	1235689	43452	0.041439056
GCF_001882135.1	Viral	1874540	43455	0.041441917
GCF_001882235.1	Viral	1814285	43464	0.0414505
GCF_001881815.1	Viral	1814288	43464	0.0414505
GCF_001884635.1	Viral	1814281	43465	0.041451454
GCF_001885365.1	Viral	1814280	43471	0.041457176
GCF_002957585.1	Viral	2734271	43481	0.041466713
GCF_000909435.1	Viral	1282995	43486	0.041471481
GCF_000842085.1	Viral	186153	43496	0.041481018
GCF_000859365.1	Viral	320834	43499	0.041483879
GCF_000905655.1	Viral	1980941	43518	0.041501999
GCF_003047795.1	Viral	1118064	43519	0.041502953
GCF_002614465.1	Viral	1911009	43533	0.041516304
GCF_000920035.1	Viral	1465613	43536	0.041519165
GCF_002630325.1	Viral	2733361	43543	0.041525841
GCF_000898375.1	Viral	1118063	43555	0.041537285
GCF_000902075.1	Viral	1147149	43555	0.041537285
GCF_000859425.1	Viral	320846	43570	0.04155159
GCF_001881855.1	Viral	1814286	43590	0.041570663
GCF_000886215.1	Viral	663241	43593	0.041573524
GCF_000897395.1	Viral	1921548	43599	0.041579247
GCF_002622845.1	Viral	1982084	43603	0.041583061
GCF_002629145.1	Viral	2733599	43605	0.041584969
GCF_002603025.1	Viral	2734006	43615	0.041594505
GCF_000897095.1	Viral	1921546	43624	0.041603088
GCF_002989995.1	Viral	2733607	43625	0.041604042
GCF_005890215.1	Viral	2734234	43630	0.04160881
GCF_000910915.1	Viral	2733357	43642	0.041620255
GCF_001503015.1	Viral	1636204	43652	0.041629791
GCF_001881775.1	Viral	1814287	43665	0.041642189
GCF_000908995.1	Viral	1347760	43674	0.041650772
GCF_009667565.1	Viral	2488573	43683	0.041659355
GCF_003423285.1	Viral	2733954	43683	0.041659355
GCF_000914455.1	Viral	1308896	43685	0.041661263
GCF_002758635.1	Viral	2169967	43696	0.041671753
GCF_001885385.1	Viral	1701813	43706	0.04168129
GCF_000848885.1	Viral	12402	43709	0.041684151
GCF_002618025.1	Viral	2733325	43710	0.041685104
GCF_003692035.1	Viral	2734222	43711	0.041686058
GCF_000837385.1	Viral	130478	43716	0.041690826
GCF_000912195.1	Viral	1962301	43719	0.041693687
GCF_003368865.1	Viral	2249780	43724	0.041698456
GCF_000911255.1	Viral	2733356	43726	0.041700363
GCF_000874185.2	Viral	2560392	43730	0.041704178
GCF_000880375.1	Viral	2733360	43730	0.041704178
GCF_000904115.1	Viral	1188795	43742	0.041715622
GCF_000898095.1	Viral	1141525	43749	0.041722298
GCF_001755205.1	Viral	2734247	43749	0.041722298
GCF_000871065.2	Viral	445517	43751	0.041724205
GCF_000864505.1	Viral	1921545	43767	0.041739464
GCF_002990265.1	Viral	2733347	43779	0.041750908
GCF_001470875.1	Viral	1698421	43786	0.041757584
